"ID","age","gender","consent","expectedMemory","memoryCond","instructionCond","listlength","deltaLength","numEnd","ListRecency","Position","WordPresented","WordRecalled","Inpos","Box"
10006,19,2,1,0,0,3,25,0,1,-3,17,"Jeep","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,18,"Reindeer","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,19,"Acorn","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,20,"Mask","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,21,"Pint","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,22,"Hinge","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,23,"Leopard","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,24,"Earth worm","",27,NA
10006,19,2,1,0,0,3,25,0,1,-3,25,"Freezer","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,1,"Walrus","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,2,"Computer","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,3,"Hair-brush","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,4,"Jacket","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,5,"Buffalo","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,6,"Flamingo","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,7,"Trout","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,8,"Needle","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,9,"Scissors","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,10,"Turnip","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,11,"Broccoli","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,12,"Chicken","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,13,"Cat","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,14,"Hornet","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,15,"Toilet","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,16,"Rabbit","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,17,"Stereo","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,18,"Mars bar","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,19,"Window","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,20,"Pram","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,21,"Blackboard","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,22,"Iris","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,23,"Dog","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,24,"Ape","",27,NA
10006,19,2,1,0,0,3,25,0,1,-2,25,"Piano","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,1,"Jug","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,2,"Windmill","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,3,"Tomato","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,4,"Ratchet","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,5,"Dishwasher","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,6,"Anorak","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,7,"Tiger","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,8,"Parsnip","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,9,"Mushroom","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,10,"Pin","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,11,"Caravan","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,12,"Eagle","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,13,"Fishing rod","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,14,"Swallow","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,15,"Stool","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,16,"Button","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,17,"Pie","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,18,"Necklace","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,19,"Fan","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,20,"Axe","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,21,"Knife","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,22,"Hut","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,23,"Stallion","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,24,"Badger","",27,NA
10006,19,2,1,0,0,3,25,0,1,-1,25,"Amplifier","",27,NA
10006,19,2,1,0,0,3,25,0,1,0,1,"Cantaloupe","belt",21,25
10006,19,2,1,0,0,3,25,0,1,0,2,"Grape","torso",19,16
10006,19,2,1,0,0,3,25,0,1,0,3,"Helmet","tent",15,12
10006,19,2,1,0,0,3,25,0,1,0,4,"Eye","beagle",20,10
